aah	ah
search	serc
searcher	sercer
searchlight	sercliʸt
seascape	seʸskaʸp
seasider	seʸsiʸder
season	sézon
seasoning	sézoniŋ
seat	seʸt
seatbelt	seʸtbelt
seater	seʸter
seaweed	seʸʷeʸd
secateur	sekater
secede	seséd
secessionist	sesesionist
seclude	seklúd
second	sekond
secondary	sekondaré
secondee	sekondé
secret	sékret
secretariat	sekretariat
secretary	sekretaré
secrete	sekrét
secretion	sekrésion
sect	sekt
section	seksion
sector	sektor
secure	sekúr
security	sekúrité
sedate	sedát
sedative	sedativ
sedge	sej
sediment	sediment
sedimentologist	sedimentolojist
seduce	sedús
seducer	sedúser
seduction	seduksion
see	seʸ
seed	seʸd
seeding	seʸdiŋ
seedling	seʸdliŋ
seek	seʸk
seeker	seʸker
seeking	seʸkiŋ
seem	seʸm
seep	seʸp
seer	seʸer
seethe	seʸð
seethe	seʸð
segment	segment
segmentation	segmentásion
segregate	segregát
seise	seʸz
seize	seʸz
seizure	sezúr
select	selekt
selection	seleksion
selector	selektor
self	self
selfridge	selfrij
sell	sel
seller	seler
semaphore	semafór
semi	semí
semiconductor	semikonduktor
seminar	seminar
seminary	seminaré
semiotic	semiotik
semiquaver	semikwáver
semitone	semitón
senator	senator
send	send
sender	sender
sending	sendiŋ
senior	sénior
sensation	sensásion
sense	sens
sensibility	sensibilité
sensitise	sensitíz
sensitivity	sensitivité
sensitize	sensitíz
sensor	sensor
sentence	sentens
sentencer	sentenser
sentiment	sentiment
sentimentalist	sentimentalist
sentinel	sentinel
sentry	sentré
separate	separat
separate	separát
separation	separásion
separatist	separatist
separator	separátor
sequel	sékwel
sequence	sékwens
sequencer	sékwenser
sequester	sekwester
sequin	sékwin
seraphim	serafim
serbian	serbian
serenade	serenád
serf	serf
sergeant	sarjant
serial	sérial
serialise	sérialíz
serialize	sérialíz
serif	serif
serjeant	sarjant
sermon	sermon
serpent	serpent
serum	sérum
servant	servant
serve	serv
server	server
service	servis
serviceman	servisman
serviette	serviet
serving	serviŋ
servo	servó
session	sesion
set	set
setback	setbak
settee	seté
setter	seter
setting	setiŋ
settle	setel
settlement	setelment
settler	seteler
sever	sever
severe	sevér
sew	soʷ
sewer	soʷer
sewer	súer
sex	seks
sextuplet	sekstuplet
sexuality	seksúalité
sexy	seksé
shabby	xabé
shack	xak
shackle	xakel
shade	xaʸd
shading	xaʸdiŋ
shadow	xadó
shaft	xaft
shag	xag
shaikh	xaʸk
shake	xaʸk
shaker	xaʸker
shaky	xaʸké
shale	xaʸl
shall	xal
shallot	xalot
shallow	xaló
sham	xam
shaman	xáman
shamble	xambel
shame	xaʸm
shampoo	xampq̇
shamrock	xamrok
shank	xaŋk
shanty	xanté
shape	xaʸp
shapechanger	xaʸpcaʸnjer
shaper	xaʸper
shard	xard
share	xaʸr
shareholder	xaʸrhoʷlder
shareholding	xaʸrhoʷldiŋ
sharer	xaʸrer
shark	xark
sharp	xarp
sharpen	xarpen
shatter	xater
shave	xaʸv
shaver	xaʸver
shaving	xaʸviŋ
shawl	xål
she	xeʸ
sheaf	xeʸf
shear	xeʸr
shearer	xeʸrer
shearman	xeʸrman
shearwater	xeʸrʷåter
sheath	xeʸþ
sheath	xeʸþ
sheathe	xeʸð
sheathe	xeʸð
shed	xed
sheen	xeʸn
sheepdog	xeʸpdog
sheepskin	xeʸpskin
sheer	xeʸr
sheet	xeʸt
sheikh	xeʸk
shekel	xekel
shelf	xelf
shell	xel
shelter	xelter
shelve	xelv
shenanigan	xenanigan
shepherd	xepherd
shepherdess	xepherdes
sheriff	xerif
sherpa	xerpa
shew	xuʷ
shia	xéa
shibboleth	xiboleþ
shield	xeʸld
shift	xift
shiite	xéít
shilling	xiliŋ
shimmer	ximer
shimmy	ximé
shin	xin
shine	xiʸn
shiny	xiʸné
ship	xip
shipbuilder	xipbilderr
shipmate	xipmaʸt
shipment	xipment
shipowner	xipoʷner
shipper	xiper
shipwreck	xiprek
shipwright	xipriʸt
shipyard	xipyard
shire	xiʸr
shirk	xirk
shirt	xirt
shirtsleeve	xirtsleʸv
shit	xit
shiver	xiver
shoal	xoʷl
shock	xok
shockwave	xokʷaʸv
shoe	xuʷ
shoelace	xuʷlaʸs
shoemake	xuʷmaʸk
shoemaker	xuʷmaʸker
shoo	xq̇
shoot	xuʷt
shooter	xuʷter
shooting	xuʷtiŋ
shop	xop
shopfront	xopfrunt
shopkeeper	xopkeʸper
shoplift	xoplift
shoplifter	xoplifter
shopper	xoper
shopworker	xopwurker
shore	xoʷr
shoreline	xoʷrliʸn
short	xort
shortage	xortaj
shortcoming	xortkumiŋ
shortcut	xortkut
shorten	xorten
shortfall	xortfål
shortlist	xortlist
shortlive	xortliv
shot	xot
shotgun	xotgun
shoulder	xólder
shout	xqʷt
shove	xuv
shovel	xuvel
show	xoʷ
showcard	xoʷkard
showcase	xoʷkaʸs
shower	xqʷr
shower	xoʷer
showing	xoʷiŋ
showman	xoʷman
showpiece	xoʷpeʸs
showroom	xoʷrq̇m
shred	xred
shreeve	xreʸv
shrew	xruʷ
shrewd	xruʷd
shriek	xreʸk
shrill	xril
shrimp	xrimp
shrine	xriʸn
shrink	xriŋk
shrivel	xrivel
shroud	xrqʷd
shrub	xrub
shrubbery	xruberé
shrug	xrug
shudder	xuder
shuffle	xufel
shun	xun
shunt	xunt
shunter	xunter
shush	xqx
shut	xut
shutdown	xutdqʷn
shutter	xuter
shuttle	xutel
shy	xiʸ
sibling	sibliŋ
sick	sik
sicken	siken
sickle	sikel
sickness	siknes
side	siʸd
sideboard	siʸdboʷrd
sideburn	siʸdburn
sidelight	siʸdliʸt
sideline	siʸdliʸn
sideshow	siʸdxoʷ
sidestep	siʸdstep
sidetrack	siʸdtrak
sidewalk	siʸdwåk
siding	siʸdiŋ
sidle	sídel
siege	seʸj
sieve	siv
sift	sift
sigh	siʸ
sight	siʸt
sighting	siʸtiŋ
sightscreen	siʸtskreʸn
sightsee	siʸtseʸ
sightseer	siʸtseʸer
sign	siʸn
signal	signal
signalman	signalman
signatory	signatoré
signature	signatúr
signer	siʸner
significance	signifikans
signification	signifikásion
signified	signifíd
signifier	signifíer
signify	signifí
signing	siʸniŋ
signpost	siʸnpoʷst
sike	siʸk
sikh	seʸk
silence	sílens
silencer	sílenser
silhouette	silq̇et
silicate	silikat
silicon	silikon
silicone	silikón
silk	silk
sill	sil
silly	silé
silo	síló
silt	silt
siltstone	siltstoʷn
silver	silver
silversmith	silversmiþ
sim	sim
similar	similar
similarity	similarité
simile	similé
simmer	simer
simper	simper
simple	simpel
simplicity	simplisité
simplification	simplifikásion
simplify	simplifí
simpson	simpson
simulate	simúlát
simulation	simúlásion
simulator	simúlátor
sin	sin
sincere	sinsér
sine	siʸn
sinew	sinú
sing	siŋ
singe	sinj
singer	siŋer
single	siŋgel
singlehand	siŋgelhand
singularity	siŋgúlarité
sink	siŋk
sinner	siner
sip	sip
siphon	sífon
sir	sir
sire	siʸr
siren	síren
sister	sister
sit	sit
sitcom	sitkom
site	siʸt
sitter	siter
sitting	sitiŋ
situate	sitúát
situation	sitúásion
situationist	sitúásionist
sixpence	sikspens
size	siʸz
sizzle	sizel
skate	skaʸt
skateboard	skaʸtboʷrd
skater	skaʸter
skein	skaʸn
skeleton	skeleton
skerry	skeré
sketch	skec
sketchbook	skecbqk
sketchy	skecé
skew	skuʷ
skewer	skuʷer
ski	skeʸ
skid	skid
skier	skeʸer
skill	skil
skim	skim
skimmer	skimer
skimp	skimp
skin	skin
skinhead	skinhed
skinny	skiné
skip	skip
skipper	skiper
skirmish	skirmix
skirmisher	skirmixer
skirt	skirt
skirting	skirtiŋ
skitter	skiter
skittle	skitel
skive	skiʸv
skivvy	skivé
skulk	skulk
skull	skul
skunk	skuŋk
sky	skiʸ
skylark	skiʸlark
skylight	skiʸliʸt
skyline	skiʸliʸn
skyscraper	skiʸskraʸper
slab	slab
slack	slak
slacken	slaken
slag	slag
slain	slaʸn
slam	slam
slander	slander
slant	slant
slap	slap
slash	slax
slat	slat
slate	slaʸt
slaughter	slåter
slaughterhouse	slåterhqʷs
slav	slav
slave	slaʸv
slaveholder	slaʸvhoʷlder
slaver	slaʸver
slay	slaʸ
sledge	slej
sledgehammer	slejhamer
sleek	sleʸk
sleep	sleʸp
sleeper	sleʸper
sleepwalk	sleʸpʷåk
sleeve	sleʸv
sleevenote	sleʸvnoʷt
slender	slender
sleuth	sluʷþ
slew	sluʷ
slice	sliʸs
slick	slik
slicker	sliker
slide	sliʸd
slider	sliʸder
slight	sliʸt
slim	slim
slime	sliʸm
slimmer	slimer
sling	sliŋ
slink	sliŋk
slip	slip
slipper	sliper
slit	slit
slither	sliðer
sliver	sliver
slob	slob
slobber	slober
slog	slog
slogan	slógan
slop	slop
slope	sloʷp
slosh	slox
slot	slot
sloth	sloþ
slouch	slqʷc
slough	sluf
slovak	slóvak
slovene	slóvén
slow	sloʷ
sludge	sluj
slug	slug
sluice	sluʷs
slum	slum
slumber	slumber
slump	slump
slur	slur
slurp	slurp
slurry	sluré
smack	smak
small	smål
smallhold	smålhoʷld
smallholder	smålhoʷlder
smallholding	smålhoʷldiŋ
smart	smart
smarten	smarten
smarty	smarté
smash	smax
smear	smeʸr
smell	smel
smelly	smelé
smelt	smelt
smelter	smelter
smile	smiʸl
smirk	smirk
smite	smiʸt
smith	smiþ
smithereen	smiðerén
smithy	smiþé
smock	smok
smog	smog
smoke	smoʷk
smoker	smoʷker
smooth	smq̇ð
smother	smuðer
smoulder	smólder
smudge	smuj
smuggle	smugel
smuggler	smugeler
smut	smut
snack	snak
snaffle	snafel
snag	snag
snail	snaʸl
snake	snaʸk
snap	snap
snapper	snaper
snapshot	snapxot
snare	snaʸr
snarl	snarl
snatch	snac
sneak	sneʸk
sneaker	sneʸker
sneer	sneʸr
sneeze	sneʸz
snicker	sniker
sniff	snif
sniffer	snifer
sniffle	snifel
snigger	sniger
snip	snip
snipe	sniʸp
sniper	sniʸper
snippet	snipet
snivel	snivel
snob	snob
snog	snog
snoop	snq̇p
snooper	snq̇per
snooze	snq̇z
snore	snoʷr
snorer	snoʷrer
snorkel	snorkel
snort	snort
snotling	snotliŋ
snout	snqʷt
snow	snoʷ
snowball	snoʷbål
snowdrift	snoʷdrift
snowdrop	snoʷdrop
snowfall	snoʷfål
snowfield	snoʷfeʸld
snowflake	snoʷflaʸk
snowman	snoʷman
snowstorm	snoʷstorm
snub	snub
snuff	snuf
snuffle	snufel
snuggle	snugel
soak	soʷk
soakaway	snoʷkawaʸ
soap	snoʷp
soar	soʷr
sob	sob
sober	sóber
social	sósial
socialise	sósialíz
socialist	sósialist
socialite	sósialít
socialize	sósialíz
society	sosíeté
sociobiologist	sósiobíolojist
sociolinguist	sósioliŋgwist
sociolinguistic	sósioliŋgwistik
sociologist	sósiolojist
sock	sok
socket	soket
sod	sod
sofa	sófa
soft	soft
soften	sofen
softener	sofener
softy	softé
soil	soʸl
sojourn	sójurn
solder	solder
soldier	sóldier
sole	soʷl
solicit	solisit
solicitation	solisitásion
solicitor	solisitor
solid	solid
solidarity	solidarité
solidify	solidifí
soliloquy	solilokwé
solitary	solitaré
solitude	solitúd
solo	sóló
soloist	sólóist
solution	solúsion
solve	solv
solvent	solvent
solver	solver
somali	somalé
somersault	sumersålt
son	sun
sonata	sonata
song	soŋ
songwriter	soŋriʸter
sonnet	sonet
sonority	sonorité
soothe	sq̇ð
sop	sop
sophisticate	sofistikát
soprano	sopranó
sorbet	sorbaʸ
sorcerer	sorserer
sore	soʷr
sorrow	soró
sorry	soré
sort	sort
sorter	sorter
souk	sq̇k
soul	soʷl
sound	sqʷnd
sounding	sqʷndiŋ
soundproof	sqʷndprq̇f
soundtrack	sqʷndtrak
soup	sq̇p
sour	sqʷr
source	soʷrs
southerner	suðerner
souvenir	sq̇venér
sovereign	soveran
soviet	sóviet
sow	soʷ
sow	sqʷ
soyabean	soʸabeʸn
soybean	soʸbeʸn
spa	spa
space	spaʸs
spaceman	spaʸsman
spacer	spaʸser
spaceship	spaʸsxip
spacing	spaʸsiŋ
spade	spaʸd
span	span
spandrel	spandrel
spangle	spaŋgel
spaniard	spaniard
spaniel	spaniel
spank	spaŋk
spanner	spaner
spar	spar
spare	spaʸr
spark	spark
sparkle	sparkel
sparkler	sparkeler
sparrow	sparó
sparse	spars
spartan	spartan
spasm	spazem
spastic	spastik
spat	spat
spatial	spásial
spatter	spater
spawn	spån
spawner	spåner
spawning	spåniŋ
spay	spaʸ
speak	speʸk
speaker	speʸker
spear	speʸr
spearhead	speʸrhed
spearman	speʸrman
spec	spek
special	spesial
specialisation	spesializásion
specialise	spesialíz
specialism	spesializem
specialist	spesialist
speciality	spesialité
specialization	spesializásion
specialize	spesialíz
specialty	spesialté
specific	spesifik
specification	spesifikásion
specificity	spesifisité
specifier	spesifíer
specify	spesifí
specimen	spesimen
speck	spek
speckle	spekel
specmark	spekmark
spectacle	spektakel
spectacular	spektakúlar
spectator	spektátor
spectre	spekter
spectrometer	spektrometer
spectrum	spektrum
speculate	spekúlát
speculation	spekúlásion
speculator	spekúlátor
speech	speʸc
speed	speʸd
speedboat	speʸdboʷt
speedy	speʸdé
spell	spel
spellbind	spelbiʸnd
speller	speler
spelling	speliŋ
spend	spend
spender	spender
sperm	sperm
spermicide	spermisíd
spew	spuʷ
sphere	sfeʸr
sphincter	sfiŋkter
spice	spiʸs
spicer	spiʸser
spider	spíder
spike	spiʸk
spill	spil
spillage	spilaj
spillover	spilóver
spin	spin
spindle	spindel
spine	spiʸn
spinner	spiner
spinster	spinster
spiral	spíral
spire	spiʸr
spirit	spirit
spiritualist	spiritúalist
spit	spit
spitfire	spitfiʸr
spittal	spital
spittle	spitel
splash	splax
splatter	splater
splay	splaʸ
splendor	splendor
splendour	splendor
splice	spliʸs
splint	splint
splinter	splinter
split	split
splitter	spliter
spoil	spoʸl
spoiler	spoʸler
spoke	spoʷk
spokesman	spoʷksman
spokesperson	spoʷksperson
sponge	spunj
sponsor	sponsor
sponsorship	sponsorxip
spook	spq̇k
spool	spq̇l
spoon	spq̇n
spoonful	spq̇nfql
spore	spoʷr
sport	spoʷrt
sportsman	spoʷrtsman
sporty	spoʷrté
spot	spot
spotlight	spotliʸt
spotter	spoter
spouse	spqʷs
spout	spqʷt
sprain	spraʸn
sprat	sprat
sprawl	språl
spray	spraʸ
sprayer	spraʸer
spread	spred
spreadeagle	spredégel
spreader	spreder
spreadsheet	spredxeʸt
spree	spreʸ
sprig	sprig
spring	spriŋ
sprinkle	spriŋkel
sprinkler	spriŋkeler
sprint	sprint
sprinter	sprinter
sprite	spriʸt
sprout	sprqʷt
spruce	spruʷs
spud	spud
spur	spur
spurn	spurn
spurt	spurt
sputter	sputer
spy	spiʸ
squabble	skwobel
squad	skwod
squaddy	skwodé
squadron	skwodron
squall	skwål
squander	skwonder
square	skwaʸr
squash	skwox
squat	skwot
squatter	skwoter
squawk	skwåk
squeak	skweʸk
squeal	skweʸl
squeeze	skweʸz
squelch	skwelc
squid	skwid
squiggle	skwigel
squinch	skwinc
squint	skwinc
squire	skwiʸr
squirm	skwirm
squirrel	skwirel
squirt	skwirt
stab	stab
stabbing	stabiŋ
stabilise	stábilíz
stabiliser	stábilízer
stabilize	stábilíz
stabilizer	stábilízer
stable	stábel
stack	stak
stadium	stádium
staff	staf
staffer	stafer
staffroom	stafrq̇m
stag	stag
stage	staʸj
stagger	stager
stagnate	stagnát
stain	staʸn
staircase	staʸrkaʸs
stairs	staʸrz
stairway	staʸrwaʸ
stake	staʸk
stakeholder	staʸkhoʷlder
stalactite	stalaktít
stalagmite	stalagmít
stale	staʸl
stalinist	stalinist
stalk	ståk
stalker	ståker
stall	stål
stallholder	stålhoʷlder
stallion	stalion
stalwart	stolʷort
stamen	stámen
stammer	stamer
stamp	stamp
stampede	stampéd
stance	stans
stanchion	stancion
stand	stand
standard	standard
standardise	standardíz
standardize	standardíz
standby	standbiʸ
standing	standiŋ
standpoint	standpoʸnt
stanza	stanza
staple	stápel
star	star
starch	starc
stare	staʸr
stark	stark
starker	starker
starlet	starlet
starling	starliŋ
start	start
starter	starter
startle	startel
starve	starv
stash	stax
stat	stat
state	staʸt
statement	staʸtment
stateroom	staʸtrq̇m
statesman	staʸtsman
station	stásion
stationer	stásioner
statistician	statistisian
statue	statú
statuette	statúet
status	status
statute	statút
staunch	stånc
stave	staʸv
stay	staʸ
steading	stediŋ
steady	stedé
steak	staʸk
steal	steʸl
stealer	steʸler
steam	steʸm
steamboat	steʸmboʷt
steamer	steʸmer
steamroller	steʸmroʷler
steamship	steʸmxip
stearn	stern
steed	steʸd
steel	steʸl
steelwork	steʸlwurk
steelworker	steʸlwurker
steep	steʸp
steepen	steʸpen
steeple	steʸpel
steeplechase	steʸpelcaʸs
steer	steʸr
stein	stiʸn
stem	stem
stencil	stensil
stent	stent
step	step
steppe	step
stepson	stepsun
stereo	steréó
stereotype	steréótíp
sterilise	sterilíz
sterilize	sterilíz
stern	stern
steroid	steroʸd
stew	stuʷ
steward	stúard
stewardess	stúardes
stick	stik
sticker	stiker
stickleback	stikelbak
sticky	stiké
stiff	stif
stiffen	stifen
stifle	stífel
stigmatise	stigmatíz
stigmatize	stigmatíz
stile	siʸl
stiletto	stiletó
still	stil
stillbirth	stilbirþ
stilt	stilt
stimulant	stilmúlant
stimulate	stimúlát
stimulus	stimúlus
sting	stiŋ
stink	stiŋk
stint	stint
stipend	stípend
stipple	stipel
stipulate	stipúlát
stipulation	stipúlásion
stir	stir
stirring	stiriŋ
stirrup	stirup
stitch	stic
stoat	stoʷt
stock	stok
stockbroker	stokbróker
stockholder	stokhoʷlder
stocking	stokiŋ
stockman	stokman
stockmarket	stokmarket
stockpile	stokpiʸl
stoddard	stodard
stoic	stóik
stoke	stoʷk
stomach	stumak
stomp	stomp
stone	stoʷn
stonemason	stoʷnmáson
stonewall	stoʷnwål
stooge	stq̇j
stool	stq̇l
stoop	stq̇p
stop	stop
stopfordian	stopfordian
stoppage	stopaj
stopper	stoper
store	stoʷr
storehouse	stoʷrhqʷs
storekeeper	stoʷrkeʸper
storeroom	stoʷrrq̇m
storey	stóré
stork	stork
storm	storm
story	stóré
storyline	stóréliʸn
storyteller	stórételer
stout	stqʷt
stove	stoʷv
stow	stoʷ
straddle	stradel
strafe	straʸf
straggle	stragel
straggler	strageler
straight	straʸt
straighten	straʸten
strain	straʸn
strainer	straʸner
strait	straʸt
strand	strand
stranding	strandiŋ
strange	straʸnj
stranger	straʸnjer
strangle	straŋgel
strangler	straŋgeler
strap	strap
stratagem	stratajem
strategic	stratéjik
strategist	stratejist
strategy	stratejé
stratify	stratifí
stratum	stratum
straw	strå
strawberry	stråberé
stray	straʸ
streak	streʸk
stream	streʸm
streamer	streʸmer
streamline	streʸmliʸn
street	streʸt
streetlamp	streʸtlamp
streetlight	streʸtliʸt
strength	streŋþ
strengthen	streŋþen
stress	stres
stressor	stresor
stretch	strec
stretcher	strecer
strew	struʷ
strict	strikt
stricture	striktúr
stride	striʸd
strider	striʸder
strike	striʸk
strikebreaker	striʸkbraʸker
striker	striʸker
string	striŋ
stringency	strinjensé
stringer	striŋer
strip	strip
stripe	striʸp
stripper	striper
strive	striʸv
striving	striʸviŋ
strobe	stroʷb
stroke	stroʷk
stroll	stroʷl
stroller	stroʷler
strong	stroŋ
stronghold	stroŋhoʷld
strongpoint	stroŋpoʸnt
structuralist	struktúralist
structure	struktúr
struggle	strugel
struggler	strugeler
strum	strum
strut	strut
stub	stub
stud	stud
student	stúdent
studentship	stúdentxip
studio	stúdió
study	studé
stuff	stuf
stuffing	stufiŋ
stultify	stultifí
stumble	stumbel
stump	stump
stun	stun
stunt	stunt
stunter	stunter
stuntman	stuntman
stupefy	stúpefí
stupid	stúpid
sturdy	sturdé
stutter	stuter
sty	stiʸ
style	stiʸl
styler	stiʸler
stylise	stiʸlíz
stylist	stiʸlist
stylize	stiʸlíz
stymie	stímé
sub	sub
subarea	subaréa
subassembly	subasemblé
subclass	subklas
subclone	subkloʷn
subcommittee	subkomité
subcontract	subkontrakt
subcontractor	subkontraktor
subculture	subkultúr
subdirectory	subdirektoré
subdivide	subdivíd
subdivision	subdivizion
subdomain	dubdómán
subduct	subdukt
subdue	subdú
subfamily	subfamilé
subfield	subfeʸld
subfraction	subfraksion
subgroup	subgrq̇p
subheading	subhediŋ
subject	subjekt
subjectivity	subjektivité
subjugate	subjugát
sublease	subleʸs
sublet	sublet
sublimate	sublimát
submarine	submarén
submatrix	submátriks
submerge	submerj
submission	submision
submit	submit
subordinate	subordinat
subordinate	subordinát
subpoena	subpéna
subpopulation	subpopúlásion
subregion	subréjion
subroutine	subrq̇tén
subscribe	subskríb
subscriber	subskríber
subscript	subskript
subscription	subskripsion
subsection	subseksion
subserve	subserv
subset	subset
subside	subsíd
subsidiary	subsidiaré
subsidise	subsidíz
subsidize	subsidíz
subsidy	subsidé
subsist	subsist
subskill	subskil
subsoil	subsoʸl
substance	substans
substantiate	substansiát
substitute	substitút
substitution	substitúsion
substrate	substrát
subsume	subsúm
subsystem	subsistem
subtenant	subtenant
subtest	subtest
subtitle	subtítel
subtle	sutel
subtlety	sutelté
subtract	subtrakt
subtraction	subtraksion
subtropic	subtropik
subtype	subtiʸp
subunit	subúnit
suburb	suburb
suburbanite	suburbanít
subvention	subvension
subversive	subversiv
subvert	subvert
subway	subwaʸ
succeed	sukséd
success	sukses
succession	suksesion
successor	suksesor
succor	sukor
succour	sukor
succulent	sukúlent
succumb	sukum
suck	suk
sucker	suker
suckle	sukel
sud	sud
sue	suʷ
suffer	sufer
sufferer	suferer
suffering	suferiŋ
suffice	sufís
suffix	sufiks
suffocate	sufokát
suffragette	sufrajet
suffragist	sufrajist
suffuse	sufúz
sugar	xqgar
sugary	xqgaré
suggest	sujest
suggestion	sujestion
suicide	súisíd
suit	suʷt
suitcase	suʷtkaʸs
suite	sweʸt
suitor	sútor
sulk	sulk
sully	sulé
sulphate	sulfát
sulphide	sulfíd
sultan	sultan
sum	sum
sumerian	súmerian
summarise	sumaríz
summarize	sumaríz
summary	sumaré
summer	sumer
summit	sumit
summon	sumon
summons	sumonz
sump	sump
sun	sun
sunbathe	sunbaʸð
sunbeam	sunbeʸm
sunbed	sunbed
sunday	sundaʸ
sunder	sunder
sundial	sundíal
sundry	sundré
sunflower	sunflqʷr
sunglass	sunglas
sunni	sq̇né
sunny	suné
sunscreen	sunskreʸn
sunset	sunset
sunspot	sunspot
suntan	suntan
sup	sup
super	súper
superantigen	súperantijen
supercar	súperkar
supercoil	súperkoʸl
supercompute	súperkompút
supercomputer	súperkompúter
superconductor	súperkonduktor
supercool	súperkq̇l
superfield	súperfeʸld
superimpose	súperimpóz
superintend	súperintend
superintendent	súperintendent
superior	súpérior
superlative	súperlativ
superman	súperman
supermarket	súpermarket
supermodel	súpermodel
supernatant	súpernátant
superpose	súperpóz
superpower	súperpqʷr
supersede	súperséd
superstar	súperstar
superstition	súperstision
superstore	súperstoʷr
superstructure	súperstruktúr
supertanker	súpertaŋker
supervene	súpervén
supervise	súpervíz
supervisor	súpervízor
supper	super
supplant	suplant
supplement	suplement
supplicant	suplikant
supplier	suplíer
supply	suplí
support	suport
supporter	suporter
suppose	supóz
supposition	supozision
suppository	supozitoré
suppress	supres
surcharge	surcarj
sure	xuʷr
surety	xureté
surf	surf
surface	surfas
surfactant	surfaktant
surfeit	surfet
surfer	surfer
surge	surj
surgeon	surjon
surgery	surjeré
surmise	surmíz
surmount	surmq́nt
surname	surnaʸm
surpass	surpas
surplus	surplus
surprise	surpríz
surreal	suréal
surrealist	suréalist
surrender	surender
surrogate	surogat
surround	surq̇nd
survey	survaʸ
surveyor	survaʸor
survival	survíval
survive	survív
survivor	survívor
susceptibility	suseptibilité
suspect	suspekt
suspend	suspend
suspenders	suspenderz
suspension	suspension
suspicion	suspision
suss	sus
sustain	sustán
suture	sútúr
swab	swob
swaddle	swodel
swag	swag
swagger	swager
swain	swaʸn
swallow	swoló
swamp	swomp
swan	swon
swap	swop
sward	soʷrd
swarm	sworm
swashbuckle	swoxbukel
swastika	swostika
swat	swot
swatch	swoc
swathe	swaʸð
sway	swaʸ
swear	swaʸr
sweat	swet
sweater	sweter
sweatshirt	swetxirt
sweatshop	swetxop
swede	sweʸd
sweep	sweʸp
sweeper	sweʸper
sweet	sweʸt
sweetbread	sweʸtbred
sweeten	sweʸten
sweetener	sweʸtener
sweetheart	sweʸthart
sweetmeat	sweʸtmeʸt
sweety	sweʸté
swell	swel
swelling	sweliŋ
swelter	swelter
swerve	swerv
swift	swift
swiftpack	swiftpak
swig	swig
swill	swil
swim	swim
swimmer	swimer
swimsuit	swimsuʷt
swindle	swindel
swindler	swindeler
swine	swiʸn
swing	swiŋ
swinger	swiŋer
swipe	swiʸp
swirl	swirl
swish	swix
switch	swic
switchboard	swicboʷrd
swivel	swivel
swoon	swq̇n
swoop	swq̇p
sword	soʷrd
swordsman	soʷrdzman
swordtail	soʷrdtaʸl
sycamore	sikamór
sycophant	sikofant
syllable	silabel
syllabus	silabus
syllogism	silojizem
symbol	simbol
symbolic	simbolik
symbolise	simbolíz
symbolize	simbolíz
symmetry	simetré
sympathise	simpaþíz
sympathiser	simpaþízer
sympathize	simpaþíz
sympathizer	simpaþízer
sympathy	simpaþé
symphony	simfoné
symptom	simtom
synagogue	sinagog
synapse	sinaps
synchronise	siŋkroníz
synchronize	siŋkroníz
syncopation	siŋkopásion
syndicate	sindikat
syndicate	sindikát
syndrome	sindróm
synergy	sinerjé
synod	sinod
synonym	sinonim
synopsis	sinopsis
synth	sinþ
synthesis	sinþesis
synthesise	sinþesíz
synthesiser	sinþesízer
synthesize	sinþesíz
synthesizer	sinþesízer
synthetic	sinþetik
syphon	sífon
syrian	sirian
syringe	sirinj
system	sistem
systematise	sistemíz
systematize	sistemíz
ta	ta
tab	tab
tabernacle	tabernakel
table	tábel
tableau	tabló
tablecloth	tábelkloþ
tabler	tábeler
tablespoon	tábelspq̇n
tablet	tablet
tabloid	tabloʸd
taboo	tabq̇
tabulate	tabúlát
tack	tak
tackle	takel
tackler	takeler
taco	takó
tactic	taktik
tadpole	tadpól
tag	tag
tail	taʸl
tailback	taʸlbak
tailing	taʸliŋ
tailor	taʸlor
taint	taʸnt
take	taʸk
takeaway	taʸkawaʸ
takeover	taʸkóver
taker	taʸker
taking	taʸkiŋ
tale	taʸl
talent	talent
talisman	talisman
talk	tåk
talker	tåker
talky	tåké
tall	tål
tally	talé
tallyman	taléman
talon	talon
tamarisk	tamarisk
tambour	tambq̇r
tambourine	tambq̇rén
tame	taʸm
tamil	tamil
tamp	tamp
tamper	tamper
tampon	tampon
tan	tan
tandem	tandem
tang	taŋ
tangent	tanjent
tangerine	tanjerén
tangle	taŋgel
tank	taŋk
tankard	taŋkard
tankbuster	taŋkbuster
tanker	taŋker
tanner	taner
tannery	taneré
tannin	tanin
tantalise	tantalíz
tantalize	tantalíz
tantrum	tantrum
tanzanian	tanzánian
tao	tqʷ
tap	tap
tapa	tapa
tape	taʸp
taper	táper
tapestry	tapestré
tapeworm	taʸpwurm
tapir	tápér
tapper	taper
tapping	tapiŋ
tar	tar
target	target
tariff	tarif
tarnish	tarnix
tart	tart
tartan	tartan
tartlet	tarlet
task	task
tassel	tasel
taste	taʸst
tastebud	taʸstbud
taster	taʸster
tasting	taʸstiŋ
tasty	taʸsté
tat	tat
tatar	tatar
tater	táter
tatter	tater
tattoo	tatq̇
tattooe	tatq̇
taunt	tånt
taut	tåt
tauten	tåten
tavern	tavern
taverna	taverna
taverner	taverner
tax	taks
taxi	taksé
taxonomist	taksonomist
taxonomy	taksonomé
taxpayer	takspaʸer
tea	teʸ
teabag	teʸbag
teacake	teʸkaʸk
teach	teʸc
